city,cityAra,lat,lng,country,iso2,iso3
Tokyo,طوكيو,35.685,139.7514,Japan,JP,JPN
New York,نيويورك,40.6943,-73.9249,United States,US,USA
Mexico City,مكسيكو سيتي,19.4424,-99.131,Mexico,MX,MEX
Mumbai,مومباي,19.017,72.857,India,IN,IND
São Paulo,ساو باولو,-23.5587,-46.625,Brazil,BR,BRA
Delhi,دلهي,28.67,77.23,India,IN,IND
Shanghai,شنغهاي,31.2165,121.4365,China,CN,CHN
Kolkata,كولكاتا,22.495,88.3247,India,IN,IND
Los Angeles,لوس أنجلوس,34.1139,-118.4068,United States,US,USA
Dhaka,دكا,23.7231,90.4086,Bangladesh,BD,BGD
Buenos Aires,بوينس آيرس,-34.6025,-58.3975,Argentina,AR,ARG
Karachi,كراتشي,24.87,66.99,Pakistan,PK,PAK
Cairo,القاهرة,30.05,31.25,Egypt,EG,EGY
Rio de Janeiro,ريو دي جانيرو,-22.925,-43.225,Brazil,BR,BRA
Ōsaka,أوساكا,34.75,135.4601,Japan,JP,JPN
Beijing,بكين,39.9289,116.3883,China,CN,CHN
Manila,مانيلا,14.6042,120.9822,Philippines,PH,PHL
Moscow,موسكو,55.7522,37.6155,Russia,RU,RUS
Istanbul,اسطنبول,41.105,29.01,Turkey,TR,TUR
Paris,باريس,48.8667,2.3333,France,FR,FRA
Seoul,سيول,37.5663,126.9997,"Korea, South",KR,KOR
Lagos,لاغوس,6.4433,3.3915,Nigeria,NG,NGA
Jakarta,جاكرتا,-6.1744,106.8294,Indonesia,ID,IDN
Guangzhou,قوانغتشو,23.145,113.325,China,CN,CHN
Chicago,شيكاغو,41.8373,-87.6862,United States,US,USA
London,لندن,51.5,-0.1167,United Kingdom,GB,GBR
Lima,ليما,-12.048,-77.0501,Peru,PE,PER
Tehran,طهران,35.6719,51.4243,Iran,IR,IRN
Kinshasa,كينشاسا,-4.3297,15.315,Congo (Kinshasa),CD,COD
Bogotá,بوغوتا,4.5964,-74.0833,Colombia,CO,COL
Shenzhen,شنتشن,22.5524,114.1221,China,CN,CHN
Wuhan,ووهان,30.58,114.27,China,CN,CHN
Hong Kong,هونغ كونغ,22.305,114.185,Hong Kong,HK,HKG
